,DTM1,HOSP_CAT,HOSP_SHORT,CAT,BT,WTBS,File_Name
0,2019-11-01 00:00:00,FMC_2,FMC,2,9,0,Amb_Dashboard_2019.11.01_00.00
1,2019-11-01 00:30:00,FMC_2,FMC,2,6,0,Amb_Dashboard_2019.11.01_00.30
2,2019-11-01 01:00:00,FMC_2,FMC,2,5,2,Amb_Dashboard_2019.11.01_01.00
3,2019-11-01 01:30:00,FMC_2,FMC,2,7,1,Amb_Dashboard_2019.11.01_01.30
4,2019-11-01 02:00:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_02.00
5,2019-11-01 02:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_02.30
6,2019-11-01 03:00:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_03.00
7,2019-11-01 03:30:00,FMC_2,FMC,2,9,0,Amb_Dashboard_2019.11.01_03.30
8,2019-11-01 04:00:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_04.00
9,2019-11-01 04:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_04.30
10,2019-11-01 05:00:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_05.00
11,2019-11-01 05:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_05.30
12,2019-11-01 06:00:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_06.00
13,2019-11-01 06:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_06.30
14,2019-11-01 07:00:00,FMC_2,FMC,2,5,0,Amb_Dashboard_2019.11.01_07.00
15,2019-11-01 07:30:00,FMC_2,FMC,2,5,0,Amb_Dashboard_2019.11.01_07.30
16,2019-11-01 08:00:00,FMC_2,FMC,2,5,1,Amb_Dashboard_2019.11.01_08.00
17,2019-11-01 08:30:00,FMC_2,FMC,2,6,0,Amb_Dashboard_2019.11.01_08.30
18,2019-11-01 09:00:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_09.00
19,2019-11-01 09:30:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_09.30
20,2019-11-01 10:00:00,FMC_2,FMC,2,9,0,Amb_Dashboard_2019.11.01_10.00
21,2019-11-01 10:30:00,FMC_2,FMC,2,10,1,Amb_Dashboard_2019.11.01_10.30
22,2019-11-01 11:00:00,FMC_2,FMC,2,11,0,Amb_Dashboard_2019.11.01_11.00
23,2019-11-01 11:30:00,FMC_2,FMC,2,12,0,Amb_Dashboard_2019.11.01_11.30
24,2019-11-01 12:00:00,FMC_1,FMC,1,0,1,Amb_Dashboard_2019.11.01_12.00
25,2019-11-01 12:30:00,FMC_1,FMC,1,1,1,Amb_Dashboard_2019.11.01_12.30
26,2019-11-01 13:00:00,FMC_2,FMC,2,15,0,Amb_Dashboard_2019.11.01_13.00
27,2019-11-01 13:30:00,FMC_1,FMC,1,2,1,Amb_Dashboard_2019.11.01_13.30
28,2019-11-01 14:00:00,FMC_1,FMC,1,3,0,Amb_Dashboard_2019.11.01_14.00
29,2019-11-01 14:30:00,FMC_1,FMC,1,3,1,Amb_Dashboard_2019.11.01_14.30
30,2019-11-01 15:00:00,FMC_1,FMC,1,4,0,Amb_Dashboard_2019.11.01_15.00
31,2019-11-01 15:30:00,FMC_1,FMC,1,4,0,Amb_Dashboard_2019.11.01_15.30
32,2019-11-01 16:00:00,FMC_1,FMC,1,3,0,Amb_Dashboard_2019.11.01_16.00
33,2019-11-01 16:30:00,FMC_1,FMC,1,2,0,Amb_Dashboard_2019.11.01_16.30
34,2019-11-01 17:00:00,FMC_1,FMC,1,2,0,Amb_Dashboard_2019.11.01_17.00
35,2019-11-01 17:30:00,FMC_1,FMC,1,2,0,Amb_Dashboard_2019.11.01_17.30
36,2019-11-01 18:00:00,FMC_1,FMC,1,2,0,Amb_Dashboard_2019.11.01_18.00
37,2019-11-01 18:30:00,FMC_1,FMC,1,2,1,Amb_Dashboard_2019.11.01_18.30
38,2019-11-01 19:00:00,FMC_1,FMC,1,3,0,Amb_Dashboard_2019.11.01_19.00
39,2019-11-01 19:30:00,FMC_1,FMC,1,3,0,Amb_Dashboard_2019.11.01_19.30
40,2019-11-01 20:00:00,FMC_1,FMC,1,3,0,Amb_Dashboard_2019.11.01_20.00
41,2019-11-01 20:30:00,FMC_1,FMC,1,1,0,Amb_Dashboard_2019.11.01_20.30
42,2019-11-01 21:00:00,FMC_1,FMC,1,2,0,Amb_Dashboard_2019.11.01_21.00
43,2019-11-01 21:30:00,FMC_1,FMC,1,2,0,Amb_Dashboard_2019.11.01_21.30
44,2019-11-01 22:00:00,FMC_2,FMC,2,12,0,Amb_Dashboard_2019.11.01_22.00
45,2019-11-01 22:30:00,FMC_2,FMC,2,13,0,Amb_Dashboard_2019.11.01_22.30
46,2019-11-01 23:00:00,FMC_2,FMC,2,11,0,Amb_Dashboard_2019.11.01_23.00
47,2019-11-01 23:30:00,FMC_2,FMC,2,9,0,Amb_Dashboard_2019.11.01_23.30
48,2019-11-01 00:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_00.00
49,2019-11-01 00:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_00.30
50,2019-11-01 01:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_01.00
51,2019-11-01 01:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_01.30
52,2019-11-01 02:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_02.00
53,2019-11-01 02:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_02.30
54,2019-11-01 03:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_03.00
55,2019-11-01 03:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_03.30
56,2019-11-01 04:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_04.00
57,2019-11-01 04:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_04.30
58,2019-11-01 05:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_05.00
59,2019-11-01 05:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_05.30
60,2019-11-01 06:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_06.00
61,2019-11-01 06:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_06.30
62,2019-11-01 07:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_07.00
63,2019-11-01 07:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_07.30
64,2019-11-01 08:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_08.00
65,2019-11-01 08:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_08.30
66,2019-11-01 09:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_09.00
67,2019-11-01 09:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_09.30
68,2019-11-01 10:00:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_10.00
69,2019-11-01 10:30:00,LMH_1,LMH,1,2,1,Amb_Dashboard_2019.11.01_10.30
70,2019-11-01 11:00:00,LMH_1,LMH,1,3,0,Amb_Dashboard_2019.11.01_11.00
71,2019-11-01 11:30:00,LMH_1,LMH,1,4,0,Amb_Dashboard_2019.11.01_11.30
72,2019-11-01 12:00:00,LMH_1,LMH,1,4,0,Amb_Dashboard_2019.11.01_12.00
73,2019-11-01 12:30:00,LMH_1,LMH,1,3,0,Amb_Dashboard_2019.11.01_12.30
74,2019-11-01 13:00:00,LMH_1,LMH,1,3,1,Amb_Dashboard_2019.11.01_13.00
75,2019-11-01 13:30:00,LMH_1,LMH,1,4,0,Amb_Dashboard_2019.11.01_13.30
76,2019-11-01 14:00:00,LMH_1,LMH,1,4,0,Amb_Dashboard_2019.11.01_14.00
77,2019-11-01 14:30:00,LMH_1,LMH,1,3,0,Amb_Dashboard_2019.11.01_14.30
78,2019-11-01 15:00:00,LMH_1,LMH,1,3,0,Amb_Dashboard_2019.11.01_15.00
79,2019-11-01 15:30:00,LMH_1,LMH,1,3,0,Amb_Dashboard_2019.11.01_15.30
80,2019-11-01 16:00:00,LMH_1,LMH,1,3,0,Amb_Dashboard_2019.11.01_16.00
81,2019-11-01 16:30:00,LMH_1,LMH,1,2,0,Amb_Dashboard_2019.11.01_16.30
82,2019-11-01 17:00:00,LMH_1,LMH,1,1,0,Amb_Dashboard_2019.11.01_17.00
83,2019-11-01 17:30:00,LMH_2,LMH,2,13,1,Amb_Dashboard_2019.11.01_17.30
84,2019-11-01 18:00:00,LMH_2,LMH,2,12,1,Amb_Dashboard_2019.11.01_18.00
85,2019-11-01 18:30:00,LMH_2,LMH,2,13,2,Amb_Dashboard_2019.11.01_18.30
86,2019-11-01 19:00:00,LMH_2,LMH,2,15,2,Amb_Dashboard_2019.11.01_19.00
87,2019-11-01 19:30:00,LMH_2,LMH,2,14,1,Amb_Dashboard_2019.11.01_19.30
88,2019-11-01 20:00:00,LMH_2,LMH,2,14,2,Amb_Dashboard_2019.11.01_20.00
89,2019-11-01 20:30:00,LMH_2,LMH,2,12,1,Amb_Dashboard_2019.11.01_20.30
90,2019-11-01 21:00:00,LMH_2,LMH,2,13,2,Amb_Dashboard_2019.11.01_21.00
91,2019-11-01 21:30:00,LMH_2,LMH,2,13,2,Amb_Dashboard_2019.11.01_21.30
92,2019-11-01 22:00:00,LMH_2,LMH,2,11,1,Amb_Dashboard_2019.11.01_22.00
93,2019-11-01 22:30:00,LMH_2,LMH,2,10,0,Amb_Dashboard_2019.11.01_22.30
94,2019-11-01 23:00:00,LMH_2,LMH,2,9,2,Amb_Dashboard_2019.11.01_23.00
95,2019-11-01 23:30:00,LMH_2,LMH,2,10,3,Amb_Dashboard_2019.11.01_23.30
96,2019-11-01 00:00:00,MH_2,MH,2,6,0,Amb_Dashboard_2019.11.01_00.00
97,2019-11-01 00:30:00,MH_2,MH,2,5,0,Amb_Dashboard_2019.11.01_00.30
98,2019-11-01 01:00:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_01.00
99,2019-11-01 01:30:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_01.30
100,2019-11-01 02:00:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_02.00
101,2019-11-01 02:30:00,MH_2,MH,2,2,0,Amb_Dashboard_2019.11.01_02.30
102,2019-11-01 03:00:00,MH_2,MH,2,2,0,Amb_Dashboard_2019.11.01_03.00
103,2019-11-01 03:30:00,MH_2,MH,2,2,0,Amb_Dashboard_2019.11.01_03.30
104,2019-11-01 04:00:00,MH_2,MH,2,2,0,Amb_Dashboard_2019.11.01_04.00
105,2019-11-01 04:30:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_04.30
106,2019-11-01 05:00:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_05.00
107,2019-11-01 05:30:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_05.30
108,2019-11-01 06:00:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_06.00
109,2019-11-01 06:30:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_06.30
110,2019-11-01 07:00:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_07.00
111,2019-11-01 07:30:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_07.30
112,2019-11-01 08:00:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_08.00
113,2019-11-01 08:30:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_08.30
114,2019-11-01 09:00:00,MH_2,MH,2,1,0,Amb_Dashboard_2019.11.01_09.00
115,2019-11-01 09:30:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_09.30
116,2019-11-01 10:00:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_10.00
117,2019-11-01 10:30:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_10.30
118,2019-11-01 11:00:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_11.00
119,2019-11-01 11:30:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_11.30
120,2019-11-01 12:00:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_12.00
121,2019-11-01 12:30:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_12.30
122,2019-11-01 13:00:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_13.00
123,2019-11-01 13:30:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_13.30
124,2019-11-01 14:00:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_14.00
125,2019-11-01 14:30:00,MH_2,MH,2,3,1,Amb_Dashboard_2019.11.01_14.30
126,2019-11-01 15:00:00,MH_2,MH,2,7,0,Amb_Dashboard_2019.11.01_15.00
127,2019-11-01 15:30:00,MH_2,MH,2,7,1,Amb_Dashboard_2019.11.01_15.30
128,2019-11-01 16:00:00,MH_2,MH,2,9,0,Amb_Dashboard_2019.11.01_16.00
129,2019-11-01 16:30:00,MH_2,MH,2,9,0,Amb_Dashboard_2019.11.01_16.30
130,2019-11-01 17:00:00,MH_2,MH,2,6,0,Amb_Dashboard_2019.11.01_17.00
131,2019-11-01 17:30:00,MH_2,MH,2,7,0,Amb_Dashboard_2019.11.01_17.30
132,2019-11-01 18:00:00,MH_2,MH,2,6,0,Amb_Dashboard_2019.11.01_18.00
133,2019-11-01 18:30:00,MH_2,MH,2,5,0,Amb_Dashboard_2019.11.01_18.30
134,2019-11-01 19:00:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_19.00
135,2019-11-01 19:30:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_19.30
136,2019-11-01 20:00:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_20.00
137,2019-11-01 20:30:00,MH_2,MH,2,3,0,Amb_Dashboard_2019.11.01_20.30
138,2019-11-01 21:00:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_21.00
139,2019-11-01 21:30:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_21.30
140,2019-11-01 22:00:00,MH_2,MH,2,4,1,Amb_Dashboard_2019.11.01_22.00
141,2019-11-01 22:30:00,MH_2,MH,2,5,0,Amb_Dashboard_2019.11.01_22.30
142,2019-11-01 23:00:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_23.00
143,2019-11-01 23:30:00,MH_2,MH,2,4,0,Amb_Dashboard_2019.11.01_23.30
144,2019-11-01 00:00:00,NHS_-99,NHS,-99,0,2,Amb_Dashboard_2019.11.01_00.00
145,2019-11-01 00:30:00,NHS_2,NHS,2,3,0,Amb_Dashboard_2019.11.01_00.30
146,2019-11-01 01:00:00,NHS_2,NHS,2,3,0,Amb_Dashboard_2019.11.01_01.00
147,2019-11-01 01:30:00,NHS_2,NHS,2,3,0,Amb_Dashboard_2019.11.01_01.30
148,2019-11-01 02:00:00,NHS_2,NHS,2,2,0,Amb_Dashboard_2019.11.01_02.00
149,2019-11-01 02:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_02.30
150,2019-11-01 03:00:00,NHS_2,NHS,2,2,0,Amb_Dashboard_2019.11.01_03.00
151,2019-11-01 03:30:00,NHS_2,NHS,2,2,0,Amb_Dashboard_2019.11.01_03.30
152,2019-11-01 04:00:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_04.00
153,2019-11-01 04:30:00,NHS_2,NHS,2,2,0,Amb_Dashboard_2019.11.01_04.30
154,2019-11-01 05:00:00,NHS_2,NHS,2,2,0,Amb_Dashboard_2019.11.01_05.00
155,2019-11-01 05:30:00,NHS_2,NHS,2,1,0,Amb_Dashboard_2019.11.01_05.30
156,2019-11-01 06:00:00,NHS_2,NHS,2,1,0,Amb_Dashboard_2019.11.01_06.00
157,2019-11-01 06:30:00,NHS_3,NHS,3,8,3,Amb_Dashboard_2019.11.01_06.30
158,2019-11-01 07:00:00,NHS_3,NHS,3,10,1,Amb_Dashboard_2019.11.01_07.00
159,2019-11-01 07:30:00,NHS_3,NHS,3,9,2,Amb_Dashboard_2019.11.01_07.30
160,2019-11-01 08:00:00,NHS_2,NHS,2,2,0,Amb_Dashboard_2019.11.01_08.00
161,2019-11-01 08:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_08.30
162,2019-11-01 09:00:00,NHS_2,NHS,2,3,0,Amb_Dashboard_2019.11.01_09.00
163,2019-11-01 09:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_09.30
164,2019-11-01 10:00:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_10.00
165,2019-11-01 10:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_10.30
166,2019-11-01 11:00:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_11.00
167,2019-11-01 11:30:00,NHS_2,NHS,2,6,0,Amb_Dashboard_2019.11.01_11.30
168,2019-11-01 12:00:00,NHS_-99,NHS,-99,0,2,Amb_Dashboard_2019.11.01_12.00
169,2019-11-01 12:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_12.30
170,2019-11-01 13:00:00,NHS_2,NHS,2,6,0,Amb_Dashboard_2019.11.01_13.00
171,2019-11-01 13:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_13.30
